DEPTH,CALI,DPHI,GR,GR,ILD,ILM,LL8,NPHI,SP
14578.5,14.713,0.38,63.744,62.305,2.991,2.968,2.728,0.417,-0.945
14579,14.814,0.369,64.861,62.075,3.18,3.037,2.902,0.412,-0.914
14579.5,14.898,0.365,65.536,61.684,3.18,3.107,3.279,0.407,-1.397
14580,14.857,0.377,66.048,53.744,3.229,3.18,3.706,0.408,-1.884
14580.5,14.653,0.386,64.867,52.509,3.229,3.18,4.189,0.414,-2.002
14581,14.595,0.385,63.045,52.545,3.229,3.18,4.883,0.414,-2.629
14581.5,14.51,0.37,62.244,53.115,3.18,3.084,5.354,0.405,-2.827
14582,14.318,0.359,63.016,61.567,3.131,2.945,5.035,0.376,-3.174
14582.5,14.119,0.298,65.118,65.911,3.084,2.728,4.387,0.357,-3.328
14583,14.05,0.303,67.118,61.489,2.99,2.527,3.65,0.356,-3.868
14583.5,13.943,0.308,65.072,57.705,2.945,2.45,3.278,0.389,-3.897
14584,13.789,0.312,62.732,52.924,2.9,2.45,3.037,0.401,-4.188
14584.5,13.684,0.316,62.09,51.264,2.9,2.566,2.9,0.41,-4.331
14585,13.613,0.32,62.117,51.33,2.856,2.728,3.486,0.433,-4.621
14585.5,13.459,0.355,63.052,53.484,2.9,2.856,4.664,0.443,-4.601
14586,13.135,0.377,62.837,60.69,2.9,2.9,7.054,0.462,-4.353
14586.5,11.352,0.373,62.482,63.254,2.9,2.856,7.386,0.473,-3.97
14587,10.944,0.3655,60.812,64.953,2.856,2.813,4.959,0.371,-3.35
14587.5,11.136,0.358,59.393,63.415,2.77,2.813,3.763,0.298,-2.98
14588,12.341,0.357,60.313,60.47,2.645,2.77,2.945,0.297,-2.362
14588.5,13.202,0.404,60.387,57.688,2.413,2.645,2.9,0.302,-1.824
14589,14.137,0.415,60.1,55.266,2.201,2.413,2.99,0.357,-1.012
14589.5,14.559,0.4195,59.894,55.311,2.168,2.27,3.229,0.387,0.193
14590,14.818,0.424,60.274,55.078,2.151,2.184,3.513,0.406,0.48
14590.5,14.818,0.375,60.661,59.589,2.135,2.102,3.65,0.423,0.555
14591,14.29,0.372,61.213,61.664,2.102,2.07,3.229,0.422,0.681
14591.5,13.876,0.365,62.753,63.857,2.07,2.102,2.728,0.415,0.708
14592,13.649,0.346,65.346,63.054,2.102,2.135,2.401,0.417,0.375
14592.5,13.009,0.327,68.133,57.278,2.135,2.27,2.168,0.423,0.091
14593,12.746,0.302,71.385,56.58,2.201,2.527,2.305,0.421,-0.255
14593.5,12.586,0.298,73.903,56.583,2.34,2.856,2.527,0.405,-0.461
14594,12.889,0.312,72.751,58.372,2.605,3.084,2.856,0.366,-0.685
14594.5,13.172,0.3255,70.281,56.504,2.99,3.329,3.433,0.328,-1.377
14595,13.007,0.339,67.765,51.75,3.486,3.54,3.88,0.325,-1.803
14595.5,12.804,0.322,66.861,50.274,3.88,3.763,4.454,0.32,-1.988
14596,12.765,0.298,66.331,49.177,4.063,4.126,5.354,0.317,-2.323
14596.5,12.334,0.271,64.872,51.244,4.32,4.523,6.508,0.305,-2.531
14597,10.869,0.269,63.599,53.083,4.664,4.883,7.274,0.297,-2.635
14597.5,10.359,0.267,61.375,54.723,5.035,5.436,7.386,0.27,-2.989
14598,9.791,0.288,60.467,55.229,5.462,5.692,6.337,0.236,-2.656
14598.5,9.528,0.299,60.444,57.468,5.96,7.734,6.24,0.226,-2.91
14599,9.277,0.3675,61.043,48.79,7.5,8.35,7.974,0.282,-3.215
14599.5,8.697,0.436,60.905,45.732,18.204,9.584,11.172,0.3,-3.522
14600,8.469,0.286,57.754,33.118,27.667,13.54,29.034,0.3,-4.142
14600.5,8.423,0.185,54.368,25.316,37.129,238.588,178.969,0.225,-4.929
14601,8.42,0.172,42.619,24.511,46.592,507.143,283.429,0.099,-5.491
14601.5,8.471,0.144,35.064,23.12,107.32,775.697,415.751,0.079,-5.905
14602,8.473,0.136,27.06,20.973,221.797,1108.64,507.407,0.055,-6.369
14602.5,8.423,0.132,21.222,19.658,225.222,908.381,628.831,0.055,-6.75
14603,8.387,0.137,21.059,18.691,208.609,619.268,815.979,0.059,-7.321
14603.5,8.372,0.159,21.709,18.112,142.214,320.397,980.722,0.065,-7.81
14604,8.411,0.18,22.561,18.17,129.721,262.522,1091.7791,0.068,-8.289
14604.5,8.412,0.214,23.579,19.716,125.805,278.822,1125.76,0.069,-9.076
